GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US37183050100,37183050100,"Census Tract 501, Wake County, North Carolina",1981,341,630,233,1351,365
1400000US37183050300,37183050300,"Census Tract 503, Wake County, North Carolina",2520,162,1217,235,1303,178
1400000US37183050400,37183050400,"Census Tract 504, Wake County, North Carolina",1379,127,791,116,588,135
1400000US37183050500,37183050500,"Census Tract 505, Wake County, North Carolina",3509,365,1589,195,1920,418
1400000US37183050600,37183050600,"Census Tract 506, Wake County, North Carolina",2243,322,845,286,1398,335
1400000US37183050700,37183050700,"Census Tract 507, Wake County, North Carolina",3205,392,938,273,2267,384
1400000US37183050800,37183050800,"Census Tract 508, Wake County, North Carolina",2431,613,178,111,2253,602
1400000US37183050900,37183050900,"Census Tract 509, Wake County, North Carolina",2242,297,446,137,1796,316
1400000US37183051000,37183051000,"Census Tract 510, Wake County, North Carolina",1962,244,525,118,1437,243
1400000US37183051101,37183051101,"Census Tract 511.01, Wake County, North Carolina",1597,283,25,27,1572,289
1400000US37183051102,37183051102,"Census Tract 511.02, Wake County, North Carolina",27,31,0,98,27,31
1400000US37183051200,37183051200,"Census Tract 512, Wake County, North Carolina",3493,314,1558,333,1935,287
1400000US37183051400,37183051400,"Census Tract 514, Wake County, North Carolina",4993,480,2559,416,2434,485
1400000US37183051501,37183051501,"Census Tract 515.01, Wake County, North Carolina",3254,202,2878,159,376,182
1400000US37183051502,37183051502,"Census Tract 515.02, Wake County, North Carolina",2616,303,1368,213,1248,329
1400000US37183051600,37183051600,"Census Tract 516, Wake County, North Carolina",4279,206,3429,232,850,182
1400000US37183051700,37183051700,"Census Tract 517, Wake County, North Carolina",3118,185,2907,220,211,123
1400000US37183051800,37183051800,"Census Tract 518, Wake County, North Carolina",4141,363,2488,380,1653,397
1400000US37183051900,37183051900,"Census Tract 519, Wake County, North Carolina",4683,479,2371,369,2312,456
1400000US37183052001,37183052001,"Census Tract 520.01, Wake County, North Carolina",3353,449,282,113,3071,467
1400000US37183052002,37183052002,"Census Tract 520.02, Wake County, North Carolina",4475,713,2933,749,1542,343
1400000US37183052101,37183052101,"Census Tract 521.01, Wake County, North Carolina",7558,740,4863,748,2695,726
1400000US37183052102,37183052102,"Census Tract 521.02, Wake County, North Carolina",6267,480,3801,636,2466,624
1400000US37183052301,37183052301,"Census Tract 523.01, Wake County, North Carolina",4755,461,1054,271,3701,483
