Census Tracts,Census Tracts-full,COR Registered Rental Units,Census Estimated Units,Difference_Units,MTFCC10,FUNCSTAT10,INTPTLAT10,INTPTLON10,NAME10,ALAND10,AWATER10,STATEFP10,COUNTYFP10,OBJECTID,SHAPEAREA,SHAPELEN
52406,37183052406,2666,2069,597,G5020,S,35.7787281,-78.7335405,524.06,3862827,37252,37,183,129,41972757.09,33054.80233
53610,37183053610,2663,2291,372,G5020,S,35.9039915,-78.7998782,536.1,11730926,325407,37,183,171,129756465.7,59987.64694
52301,37183052301,2316,1990,326,G5020,S,35.7571349,-78.7042883,523.01,4014311,375590,37,183,78,47244023.93,28647.59584
52302,37183052302,1929,1664,265,G5020,S,35.7623237,-78.67612,523.02,9582428,281739,37,183,91,106157916.3,43162.15137
53713,37183053713,1794,1540,254,G5020,S,35.8844623,-78.6979698,537.13,1384266,202357,37,183,104,17075862.72,19924.30685
52503,37183052503,1760,1793,-33,G5020,S,35.8317688,-78.7128163,525.03,7910445,22096,37,183,64,85371786.8,52685.96224
54008,37183054008,1743,2043,-300,G5020,S,35.8506029,-78.5706493,540.08,2235917,0,37,183,75,24063590.12,21249.95128
50100,37183050100,1570,759,811,G5020,S,35.7806867,-78.6392921,501,2144498,0,37,183,95,23079200.3,19282.57598
52704,37183052704,1567,2010,-443,G5020,S,35.8431942,-78.5944082,527.04,2922270,30950,37,183,84,31783308.84,25316.73464
53709,37183053709,1456,1816,-360,G5020,S,35.8656065,-78.7300256,537.09,6840947,70171,37,183,72,74379910.62,53629.98198
54018,37183054018,1439,1148,291,G5020,S,35.8598814,-78.5897856,540.18,5350329,0,37,183,132,57581999.76,36691.23512
52409,37183052409,1437,1294,143,G5020,S,35.7778906,-78.6840189,524.09,1104549,0,37,183,128,11887182.88,16539.92179
53008,37183053008,1421,1398,23,G5020,S,35.7181996,-78.7106176,530.08,25299084,2266768,37,183,121,296659539.6,105636.9371
52505,37183052505,1393,1195,198,G5020,S,35.8474052,-78.6720351,525.05,3421023,0,37,183,131,36818066.16,28661.23276
53716,37183053716,1215,1172,43,G5020,S,35.8610519,-78.6499927,537.16,3192912,62880,37,183,97,35039962.86,23826.65478
54004,37183054004,1207,1050,157,G5020,S,35.8600448,-78.6105725,540.04,2608506,0,37,183,102,28073604.36,22568.03293
52001,37183052001,1205,1276,-71,G5020,S,35.7795504,-78.5910808,520.01,3400599,0,37,183,69,36597363.67,32684.01169
54001,37183054001,1191,1238,-47,G5020,S,35.8599177,-78.6265164,540.01,3471463,16708,37,183,65,37540869.52,26086.66825
52407,37183052407,1141,1213,-72,G5020,S,35.7846005,-78.7100677,524.07,3586279,34505,37,183,125,38967070.24,27713.28484
54500,37183054500,1141,1641,-500,G5020,S,35.742404,-78.6506245,545,13104135,89482,37,183,51,141988506,60369.3064
53725,37183053725,1117,978,139,G5020,S,35.8823933,-78.7179672,537.25,4206462,0,37,183,32,45271789.35,30928.91804
53711,37183053711,1104,709,395,G5020,S,35.8949134,-78.7105168,537.11,5407096,0,37,183,81,58193761.85,44932.68996
52504,37183052504,1098,1012,86,G5020,S,35.8230939,-78.6950589,525.04,5864033,55785,37,183,94,63710218.39,37481.44252
53707,37183053707,1083,1207,-124,G5020,S,35.877876,-78.6586731,537.07,4289187,137948,37,183,63,47646643.65,35477.07564
51200,37183051200,1038,1254,-216,G5020,S,35.7898398,-78.6587303,512,1872240,0,37,183,106,20149172.39,22539.16292
51400,37183051400,1025,1037,-12,G5020,S,35.7959588,-78.6731754,514,2897334,0,37,183,67,31181426.15,27059.02715
52401,37183052401,1023,1005,18,G5020,S,35.8041308,-78.7215651,524.01,13083049,4582,37,183,92,140850666.7,60567.26761
50300,37183050300,1011,1013,-2,G5020,S,35.790585,-78.6481755,503,1039734,0,37,183,113,11189695.07,16212.42278
52408,37183052408,996,1068,-72,G5020,S,35.7798636,-78.6926897,524.08,1048520,0,37,183,126,11284217.47,14181.09657
52701,37183052701,948,1151,-203,G5020,S,35.8339214,-78.6206175,527.01,6817974,10917,37,183,100,73494155.86,37149.04303
52602,37183052602,867,484,383,G5020,S,35.8439385,-78.634331,526.02,3394188,0,37,183,93,36529168.24,26146.25399
53714,37183053714,805,881,-76,G5020,S,35.8737123,-78.6862461,537.14,3557897,0,37,183,87,38291473.5,29789.19176
54014,37183054014,796,1232,-436,G5020,S,35.8866225,-78.5510174,540.14,10628988,0,37,183,4,114393909.3,57841.9171
51000,37183051000,759,906,-147,G5020,S,35.774008,-78.6481695,510,973166,0,37,183,76,10473257.21,20139.97742
54017,37183054017,717,606,111,G5020,S,35.880933,-78.5901618,540.17,2844070,198550,37,183,5,32746001.31,34507.07181
51800,37183051800,713,972,-259,G5020,S,35.8088259,-78.6307676,518,3775723,0,37,183,107,40634852.11,32206.41614
54016,37183054016,704,435,269,G5020,S,35.8909249,-78.5847868,540.16,6079975,43495,37,183,6,65903674.65,36936.83791
50600,37183050600,682,782,-100,G5020,S,35.7849873,-78.6210561,506,1634604,0,37,183,111,17591698.61,22985.34101
53717,37183053717,680,388,292,G5020,S,35.9115476,-78.7628415,537.17,6694606,0,37,183,148,72051026.48,56898.21262
50800,37183050800,676,620,56,G5020,S,35.7644588,-78.6256548,508,2216917,10158,37,183,116,23967769.1,24189.9602
52706,37183052706,655,749,-94,G5020,S,35.8088238,-78.5898672,527.06,6281384,65412,37,183,119,68305078.18,37871.8342
52404,37183052404,638,709,-71,G5020,S,35.7714479,-78.7048398,524.04,3192567,87599,37,183,55,35301150.14,28064.18169
51900,37183051900,635,1043,-408,G5020,S,35.7909911,-78.6021439,519,4404664,52227,37,183,96,47965414.2,32365.2498
53722,37183053722,629,913,-284,G5020,S,35.8928608,-78.6707877,537.22,3128250,22326,37,183,1,33908000.46,25887.66949
52101,37183052101,626,850,-224,G5020,S,35.7439039,-78.6210255,521.01,7571461,17119,37,183,61,81667580.38,44632.05889
